Перший рівень,Другий рівень,Третій рівень,Четвертий рівень,Додатковий рівень,Категорія об’єкта,Назва об’єкта
UA01000000000013043,UA01020000000022387,UA01020330000026857,UA01020330010077491,,C,Піщане
UA01000000000013043,UA01020000000022387,UA01020330000026857,UA01020330020049762,,C,Берегове
UA01000000000013043,UA01020000000022387,UA01020350000012924,,,H,Плодівська 
UA01000000000013043,UA01020000000022387,UA01020350000012924,UA01020350010083152,,C,Плодове
UA01000000000013043,UA01020000000022387,UA01020350000012924,UA01020350020055481,,C,Брянське
UA01000000000013043,UA01020000000022387,UA01020350000012924,UA01020350030066553,,C,Гірка
UA01000000000013043,UA01020000000022387,UA01020350000012924,UA01020350040061533,,C,Дібрівка
UA01000000000013043,UA01020000000022387,UA01020350000012924,UA01020350050012107,,C,Дорожнє
UA01000000000013043,UA01020000000022387,UA01020370000098913,,,H,Поштівська 
UA01000000000013043,UA01020000000022387,UA01020370000098913,UA01020370010082919,,T,Поштове
UA01000000000013043,UA01020000000022387,UA01020370000098913,UA01020370020017519,,C,Завітне
UA01000000000013043,UA01020000000022387,UA01020370000098913,UA01020370030073511,,C,Зубакіне
UA01000000000013043,UA01020000000022387,UA01020370000098913,UA01020370040066972,,C,Казанки
UA01000000000013043,UA01020000000022387,UA01020370000098913,UA01020370050048874,,C,Малинівка
UA01000000000013043,UA01020000000022387,UA01020370000098913,UA01020370060014747,,C,Нововасилівка
UA01000000000013043,UA01020000000022387,UA01020370000098913,UA01020370070047245,,C,Новопавлівка
UA01000000000013043,UA01020000000022387,UA01020370000098913,UA01020370080064174,,C,Приятне Свідання
UA01000000000013043,UA01020000000022387,UA01020370000098913,UA01020370090059007,,C,Ростуче
UA01000000000013043,UA01020000000022387,UA01020370000098913,UA01020370100079082,,C,Самохвалове
UA01000000000013043,UA01020000000022387,UA01020370000098913,UA01020370110050872,,C,Севастянівка
UA01000000000013043,UA01020000000022387,UA01020370000098913,UA01020370120034950,,C,Тополі
UA01000000000013043,UA01020000000022387,UA01020370000098913,UA01020370130021249,,X,Стальне
UA01000000000013043,UA01020000000022387,UA01020390000023946,,,H,Скалистівська 
UA01000000000013043,UA01020000000022387,UA01020390000023946,UA01020390010087353,,C,Скалисте
UA01000000000013043,UA01020000000022387,UA01020390000023946,UA01020390020089381,,C,Глибокий Яр
UA01000000000013043,UA01020000000022387,UA01020390000023946,UA01020390030068062,,C,Прохладне
UA01000000000013043,UA01020000000022387,UA01020390000023946,UA01020390040022064,,C,Трудолюбівка
UA01000000000013043,UA01020000000022387,UA01020410000012183,,,H,Табачненська 
UA01000000000013043,UA01020000000022387,UA01020410000012183,UA01020410010079227,,C,Табачне
UA01000000000013043,UA01020000000022387,UA01020430000077222,,,H,Тернівська 
UA01000000000013043,UA01020000000022387,UA01020430000077222,UA01020430010015851,,C,Тернівка
UA01000000000013043,UA01020000000022387,UA01020430000077222,UA01020430020041589,,C,Рідне
UA01000000000013043,UA01020000000022387,UA01020450000039196,,,H,Тінистівська 
UA01000000000013043,UA01020000000022387,UA01020450000039196,UA01020450010047517,,C,Тінисте
UA01000000000013043,UA01020000000022387,UA01020450000039196,UA01020450020080220,,C,Айвове
UA01000000000013043,UA01020000000022387,UA01020450000039196,UA01020450030044282,,C,Красна Зоря
UA01000000000013043,UA01020000000022387,UA01020450000039196,UA01020450040029353,,C,Некрасовка
UA01000000000013043,UA01020000000022387,UA01020450000039196,UA01020450050043908,,C,Суворове
UA01000000000013043,UA01020000000022387,UA01020470000045027,,,H,Углівська 
UA01000000000013043,UA01020000000022387,UA01020470000045027,UA01020470010027281,,C,Углове
UA01000000000013043,UA01040000000069938,,,,P,Білогірський
UA01000000000013043,UA01040000000069938,UA01040010000012643,,,H,Ароматнівська 
UA01000000000013043,UA01040000000069938,UA01040010000012643,UA01040010010075410,,C,Ароматне
UA01000000000013043,UA01040000000069938,UA01040010000012643,UA01040010020047319,,C,Красногірське
UA01000000000013043,UA01040000000069938,UA01040010000012643,UA01040010030032536,,C,Курортне
UA01000000000013043,UA01040000000069938,UA01040030000094499,,,H,Багатівська 
UA01000000000013043,UA01040000000069938,UA01040030000094499,UA01040030010054698,,C,Багате
UA01000000000013043,UA01040000000069938,UA01040030000094499,UA01040030020054426,,C,Горлинка
UA01000000000013043,UA01040000000069938,UA01040030000094499,UA01040030030079308,,C,Красна Слобода
UA01000000000013043,UA01040000000069938,UA01040030000094499,UA01040030040031736,,C,Мелехове
UA01000000000013043,UA01040000000069938,UA01040030000094499,UA01040030050078807,,C,Поворотне
UA01000000000013043,UA01040000000069938,UA01040030000094499,UA01040030060066182,,C,Руське
UA01000000000013043,UA01040000000069938,UA01040030000094499,UA01040030070095548,,C,Черемисівка
UA01000000000013043,UA01040000000069938,UA01040050000043618,,,H,Білогірська 
UA01000000000013043,UA01040000000069938,UA01040050000043618,UA01040050010076142,,M,Білогірськ
UA01000000000013043,UA01040000000069938,UA01040070000067477,,,H,Василівська 
UA01000000000013043,UA01040000000069938,UA01040070000067477,UA01040070010033033,,C,Василівка
UA01000000000013043,UA01040000000069938,UA01040070000067477,UA01040070020055528,,C,Малинівка
UA01000000000013043,UA01040000000069938,UA01040070000067477,UA01040070030047836,,C,Некрасове
UA01000000000013043,UA01040000000069938,UA01040070000067477,UA01040070040034784,,C,Павлівка
UA01000000000013043,UA01040000000069938,UA01040070000067477,UA01040070050033996,,C,Пролом
UA01000000000013043,UA01040000000069938,UA01040070000067477,UA01040070060012593,,C,Сєверне
UA01000000000013043,UA01040000000069938,UA01040090000079381,,,H,Вишенська 
UA01000000000013043,UA01040000000069938,UA01040090000079381,UA01040090010029666,,C,Вишенне
UA01000000000013043,UA01040000000069938,UA01040090000079381,UA01040090020073644,,C,Біла Скеля
UA01000000000013043,UA01040000000069938,UA01040090000079381,UA01040090030082750,,C,Миронівка
UA01000000000013043,UA01040000000069938,UA01040110000030475,,,H,Дрофинська 
UA01000000000013043,UA01040000000069938,UA01040110000030475,UA01040110010070703,,C,Дрофине
UA01000000000013043,UA01040000000069938,UA01040110000030475,UA01040110020039966,,C,Стрепетове
UA01000000000013043,UA01040000000069938,UA01040110000030475,UA01040110030087754,,C,Яструбки
UA01000000000013043,UA01040000000069938,UA01040130000027316,,,H,Желябовська 
UA01000000000013043,UA01040000000069938,UA01040130000027316,UA01040130010024144,,C,Желябовка
UA01000000000013043,UA01040000000069938,UA01040130000027316,UA01040130020098833,,C,Ломоносове
UA01000000000013043,UA01040000000069938,UA01040150000027533,,,H,Жемчужинська 
UA01000000000013043,UA01040000000069938,UA01040150000027533,UA01040150010012456,,C,Жемчужина
UA01000000000013043,UA01040000000069938,UA01040150000027533,UA01040150020053669,,C,Піни
UA01000000000013043,UA01040000000069938,UA01040150000027533,UA01040150030055513,,C,Прирічне
UA01000000000013043,UA01040000000069938,UA01040170000015760,,,H,Зеленогірська 
UA01000000000013043,UA01040000000069938,UA01040170000015760,UA01040170010099030,,C,Зеленогірське
UA01000000000013043,UA01040000000069938,UA01040170000015760,UA01040170020016040,,C,Балки
UA01000000000013043,UA01040000000069938,UA01040170000015760,UA01040170030074437,,C,Міжгір’я
UA01000000000013043,UA01040000000069938,UA01040170000015760,UA01040170040064672,,C,Новогригорівка
UA01000000000013043,UA01040000000069938,UA01040170000015760,UA01040170050072173,,C,Новокленове
UA01000000000013043,UA01040000000069938,UA01040170000015760,UA01040170060032396,,C,Овражки
UA01000000000013043,UA01040000000069938,UA01040170000015760,UA01040170070071644,,C,Олександрівка
UA01000000000013043,UA01040000000069938,UA01040170000015760,UA01040170080017987,,C,Пасічне
UA01000000000013043,UA01040000000069938,UA01040170000015760,UA01040170090038370,,C,Пчолине
UA01000000000013043,UA01040000000069938,UA01040170000015760,UA01040170100036591,,C,Яковлівка
UA01000000000013043,UA01040000000069938,UA01040190000020544,,,H,Земляничненська 
UA01000000000013043,UA01040000000069938,UA01040190000020544,UA01040190010097055,,C,Земляничне
UA01000000000013043,UA01040000000069938,UA01040190000020544,UA01040190020016045,,C,Оленівка
UA01000000000013043,UA01040000000069938,UA01040190000020544,UA01040190030042848,,C,Опитне
UA01000000000013043,UA01040000000069938,UA01040190000020544,UA01040190040040090,,C,Радісне
UA01000000000013043,UA01040000000069938,UA01040190000020544,UA01040190050057807,,C,Родники
UA01000000000013043,UA01040000000069938,UA01040190000020544,UA01040190060069233,,C,Синьокам’янка
UA01000000000013043,UA01040000000069938,UA01040190000020544,UA01040190070073990,,C,Учебне
UA01000000000013043,UA01040000000069938,UA01040210000036434,,,H,Зибинська 
UA01000000000013043,UA01040000000069938,UA01040210000036434,UA01040210010038172,,C,Зибини
UA01000000000013043,UA01040000000069938,UA01040210000036434,UA01040210020028452,,C,Мельники
UA01000000000013043,UA01040000000069938,UA01040230000046436,,,H,Зоркінська 
UA01000000000013043,UA01040000000069938,UA01040230000046436,UA01040230010050895,,C,Зоркіне
UA01000000000013043,UA01040000000069938,UA01040230000046436,UA01040230020012738,,C,Межове
UA01000000000013043,UA01040000000069938,UA01040230000046436,UA01040230030073687,,C,Ніжинське
UA01000000000013043,UA01040000000069938,UA01040230000046436,UA01040230040036450,,C,Широке
UA01000000000013043,UA01040000000069938,UA01040250000021026,,,H,Зуйська 
UA01000000000013043,UA01040000000069938,UA01040250000021026,UA01040250010020392,,T,Зуя
UA01000000000013043,UA01040000000069938,UA01040250000021026,UA01040250020020123,,C,Баланове
UA01000000000013043,UA01040000000069938,UA01040250000021026,UA01040250030052860,,C,Барабанове
UA01000000000013043,UA01040000000069938,UA01040250000021026,UA01040250040026169,,C,Верхні Орішники
UA01000000000013043,UA01040000000069938,UA01040250000021026,UA01040250050018337,,C,Володимирівка
UA01000000000013043,UA01040000000069938,UA01040250000021026,UA01040250060026796,,C,Литвиненкове
UA01000000000013043,UA01040000000069938,UA01040250000021026,UA01040250070076047,,C,Нижні Орішники
UA01000000000013043,UA01040000000069938,UA01040250000021026,UA01040250080068374,,C,Петрове
UA01000000000013043,UA01040000000069938,UA01040250000021026,UA01040250090083925,,C,Українка
UA01000000000013043,UA01040000000069938,UA01040270000034439,,,H,Іванівська 
UA01000000000013043,UA01040000000069938,UA01040270000034439,UA01040270010068326,,C,Іванівка
UA01000000000013043,UA01040000000069938,UA01040270000034439,UA01040270020065106,,C,Заріччя
UA01000000000013043,UA01040000000069938,UA01040270000034439,UA01040270030076395,,C,Тамбовка
UA01000000000013043,UA01040000000069938,UA01040270000034439,UA01040270040015063,,C,Тарасівка
UA01000000000013043,UA01040000000069938,UA01040290000025831,,,H,Ізобільненська 
UA01000000000013043,UA01040000000069938,UA01040290000025831,UA01040290010070254,,C,Ізобільне
UA01000000000013043,UA01040000000069938,UA01040310000067033,,,H,Кісточківська 
UA01000000000013043,UA01040000000069938,UA01040310000067033,UA01040310010085584,,C,Кісточківка
UA01000000000013043,UA01040000000069938,UA01040310000067033,UA01040310020084187,,C,Бюйтен
UA01000000000013043,UA01040000000069938,UA01040330000019963,,,H,Кримськорозівська 
UA01000000000013043,UA01040000000069938,UA01040330000019963,UA01040330010069516,,C,Кримська Роза
UA01000000000013043,UA01040000000069938,UA01040330000019963,UA01040330020085307,,C,Вишневе
UA01000000000013043,UA01040000000069938,UA01040350000026880,,,H,Криничненська 
UA01000000000013043,UA01040000000069938,UA01040350000026880,UA01040350010047859,,C,Криничне
UA01000000000013043,UA01040000000069938,UA01040350000026880,UA01040350020012591,,C,Алексєєвка
UA01000000000013043,UA01040000000069938,UA01040350000026880,UA01040350030054188,,C,Голованівка
UA01000000000013043,UA01040000000069938,UA01040350000026880,UA01040350040061641,,C,Карасівка
UA01000000000013043,UA01040000000069938,UA01040350000026880,UA01040350050029903,,C,Кирпичне
UA01000000000013043,UA01040000000069938,UA01040350000026880,UA01040350060024585,,C,Красноселівка
UA01000000000013043,UA01040000000069938,UA01040350000026880,UA01040350070019046,,C,Яблучне
UA01000000000013043,UA01040000000069938,UA01040370000093220,,,H,Курська 
UA01000000000013043,UA01040000000069938,UA01040370000093220,UA01040370010050684,,C,Курське
UA01000000000013043,UA01040000000069938,UA01040370000093220,UA01040370020068344,,C,Тополівка
UA01000000000013043,UA01040000000069938,UA01040390000094458,,,H,Листвинська 
UA01000000000013043,UA01040000000069938,UA01040390000094458,UA01040390010019526,,C,Листвинне
UA01000000000013043,UA01040000000069938,UA01040390000094458,UA01040390020016319,,C,Кирсанівка
UA01000000000013043,UA01040000000069938,UA01040390000094458,UA01040390030093653,,C,Цвітуще
UA01000000000013043,UA01040000000069938,UA01040410000039649,,,H,Мельнична 
UA01000000000013043,UA01040000000069938,UA01040410000039649,UA01040410010042512,,C,Мельничне
UA01000000000013043,UA01040000000069938,UA01040410000039649,UA01040410020013630,,C,Бочала
UA01000000000013043,UA01040000000069938,UA01040430000084830,,,H,Митрофанівська 
UA01000000000013043,UA01040000000069938,UA01040430000084830,UA01040430010029713,,C,Митрофанівка
UA01000000000013043,UA01040000000069938,UA01040430000084830,UA01040430020071965,,C,Буревісник
UA01000000000013043,UA01040000000069938,UA01040430000084830,UA01040430030022616,,C,Плодове
UA01000000000013043,UA01040000000069938,UA01040430000084830,UA01040430040044233,,C,Розливи
UA01000000000013043,UA01040000000069938,UA01040430000084830,UA01040430050095299,,C,Червоне
UA01000000000013043,UA01040000000069938,UA01040450000033279,,,H,Михайлівська 
UA01000000000013043,UA01040000000069938,UA01040450000033279,UA01040450010068274,,C,Михайлівка
UA01000000000013043,UA01040000000069938,UA01040450000033279,UA01040450020087414,,C,Кунцеве
UA01000000000013043,UA01040000000069938,UA01040450000033279,UA01040450030078647,,C,Уютне
UA01000000000013043,UA01040000000069938,UA01040470000054380,,,H,Мічурінська
UA01000000000013043,UA01040000000069938,UA01040470000054380,UA01040470010029499,,C,Мічурінське
UA01000000000013043,UA01040000000069938,UA01040470000054380,UA01040470020022194,,C,Лічебне
UA01000000000013043,UA01040000000069938,UA01040490000050783,,,H,Муромська 
UA01000000000013043,UA01040000000069938,UA01040490000050783,UA01040490010025598,,C,Муромське
UA01000000000013043,UA01040000000069938,UA01040490000050783,UA01040490020063961,,C,Дивне
UA01000000000013043,UA01040000000069938,UA01040490000050783,UA01040490030029723,,C,Кривцове
UA01000000000013043,UA01040000000069938,UA01040490000050783,UA01040490040010927,,C,Сінне
UA01000000000013043,UA01040000000069938,UA01040490000050783,UA01040490050091795,,C,Хлібне
UA01000000000013043,UA01040000000069938,UA01040510000040948,,,H,Нижньогірська 
UA01000000000013043,UA01040000000069938,UA01040510000040948,UA01040510010040141,,T,Нижньогірський
UA01000000000013043,UA01040000000069938,UA01040510000040948,UA01040510020058162,,C,Зелене
UA01000000000013043,UA01040000000069938,UA01040510000040948,UA01040510030083360,,C,Лінійне
UA01000000000013043,UA01040000000069938,UA01040530000066139,,,H,Новогригорівська 
UA01000000000013043,UA01040000000069938,UA01040530000066139,UA01040530010077803,,C,Новогригорівка
UA01000000000013043,UA01040000000069938,UA01040530000066139,UA01040530020097860,,C,Владиславівка
UA01000000000013043,UA01040000000069938,UA01040530000066139,UA01040530030039792,,C,Корінне
UA01000000000013043,UA01040000000069938,UA01040550000033125,,,H,Новожилівська 
UA01000000000013043,UA01040000000069938,UA01040550000033125,UA01040550010088649,,C,Новожилівка
UA01000000000013043,UA01040000000069938,UA01040550000033125,UA01040550020032608,,C,Аннівка
UA01000000000013043,UA01040000000069938,UA01040550000033125,UA01040550030042514,,C,Новоолександрівка
UA01000000000013043,UA01040000000069938,UA01040550000033125,UA01040550040026027,,C,Тургенєве
UA01000000000013043,UA01040000000069938,UA01040570000042023,,,H,Омелянівська 
UA01000000000013043,UA01040000000069938,UA01040570000042023,UA01040570010042704,,C,Омелянівка
UA01000000000013043,UA01040000000069938,UA01040590000047581,,,H,Охотська 
UA01000000000013043,UA01040000000069938,UA01040590000047581,UA01040590010014367,,C,Охотське
UA01000000000013043,UA01040000000069938,UA01040590000047581,UA01040590020067580,,C,Родники
UA01000000000013043,UA01040000000069938,UA01040610000061821,,,H,Пшеничненська 
UA01000000000013043,UA01040000000069938,UA01040610000061821,UA01040610010096964,,C,Пшеничне
UA01000000000013043,UA01040000000069938,UA01040610000061821,UA01040610020030655,,C,Дворове
UA01000000000013043,UA01040000000069938,UA01040610000061821,UA01040610030035427,,C,Любимівка
UA01000000000013043,UA01040000000069938,UA01040610000061821,UA01040610040082484,,C,Слив’янка
UA01000000000013043,UA01040000000069938,UA01040630000018582,,,H,Русаківська 
UA01000000000013043,UA01040000000069938,UA01040630000018582,UA01040630010035977,,C,Русаківка
UA01000000000013043,UA01040000000069938,UA01040630000018582,UA01040630020089356,,C,Лугове
UA01000000000013043,UA01040000000069938,UA01040650000030704,,,H,Садова 
UA01000000000013043,UA01040000000069938,UA01040650000030704,UA01040650010024745,,C,Садове
UA01000000000013043,UA01040000000069938,UA01040650000030704,UA01040650020023276,,C,Кукурудзяне
UA01000000000013043,UA01040000000069938,UA01040650000030704,UA01040650030083387,,C,Сєрове
UA01000000000013043,UA01040000000069938,UA01040670000061265,,,H,Уварівська 
UA01000000000013043,UA01040000000069938,UA01040670000061265,UA01040670010062727,,C,Уварівка
UA01000000000013043,UA01040000000069938,UA01040670000061265,UA01040670020074869,,C,Новоіванівка
UA01000000000013043,UA01040000000069938,UA01040670000061265,UA01040670030050869,,C,Сім’яне
UA01000000000013043,UA01040000000069938,UA01040690000074143,,,H,Цвіточненська 
UA01000000000013043,UA01040000000069938,UA01040690000074143,UA01040690010075069,,C,Цвіточне
UA01000000000013043,UA01040000000069938,UA01040690000074143,UA01040690020016998,,C,Долинівка
UA01000000000013043,UA01040000000069938,UA01040710000052728,,,H,Чкаловська 
UA01000000000013043,UA01040000000069938,UA01040710000052728,UA01040710010035681,,C,Чкалове
UA01000000000013043,UA01040000000069938,UA01040710000052728,UA01040710020071658,,C,Великосілля
UA01000000000013043,UA01040000000069938,UA01040710000052728,UA01040710030081339,,C,Заливне
UA01000000000013043,UA01040000000069938,UA01040710000052728,UA01040710040054533,,C,Коврове
UA01000000000013043,UA01040000000069938,UA01040710000052728,UA01040710050067164,,C,Лугове
UA01000000000013043,UA01040000000069938,UA01040710000052728,UA01040710060072205,,C,Степанівка
UA01000000000013043,UA01040000000069938,UA01040730000084787,,,H,Чорнопільська 
UA01000000000013043,UA01040000000069938,UA01040730000084787,UA01040730010039853,,C,Чорнопілля
UA01000000000013043,UA01040000000069938,UA01040730000084787,UA01040730020037154,,C,Дозорне
UA01000000000013043,UA01040000000069938,UA01040730000084787,UA01040730030063814,,C,Кизилівка
UA01000000000013043,UA01040000000069938,UA01040730000084787,UA01040730040030160,,C,Султан-Сарай
UA01000000000013043,UA01040000000069938,UA01040750000059611,,,H,Якимівська 
