Область,Район,ОТГ,Населений пункт,Що цікавого ,Веб-ресурси
Чернігівська ,Козелецький,Козелецька,Новики,,
Чернігівська ,Козелецький,Козелецька,Лихолітки,,
Чернігівська ,Козелецький,Козелецька,Кривицьке,,
Чернігівська ,Козелецький,Козелецька,Козелець,,
Чернігівська ,Козелецький,Козелецька,Гарбузин,,
Чернігівська ,Козелецький,Козелецька,Сивухи,,
Чернігівська ,Козелецький,Козелецька,Олексіївщина,,
Чернігівська ,Козелецький,Козелецька,Гламазди,,
Чернігівська ,Козелецький,Козелецька,Берлози,,
Чернігівська ,Козелецький,Козелецька,Закревське,,
Чернігівська ,Козелецький,Козелецька,Тополі,,
Чернігівська ,Козелецький,Козелецька,Жеребецьке,,
Чернігівська ,Козелецький,Козелецька,Часнівці,,
Чернігівська ,Козелецький,Козелецька,Риків,,
Чернігівська ,Козелецький,Козелецька,Мирне,,
Чернігівська ,Козелецький,Козелецька,Бригинці,,
Чернігівська ,Козелецький,Козелецька,Карасинівка,,
Чернігівська ,Козелецький,Козелецька,Курганське,,
Чернігівська ,Ніжинський,Бобровицька,Сухиня,,
Чернігівська ,Козелецький,Козелецька,Мостище,,
Чернігівська ,Ніжинський,Бобровицька,Марківці,,
Чернігівська ,Ніжинський,Бобровицька,Рудьківка,,
Чернігівська ,Ніжинський,Бобровицька,Макарівка,,
Чернігівська ,Ніжинський,Бобровицька,Хомівці,,
Чернігівська ,Ніжинський,Бобровицька,Коношівка,,
Чернігівська ,Ніжинський,Бобровицька,Браниця,,
Чернігівська ,Ніжинський,Бобровицька,Кобижча,,
Чернігівська ,Козелецький,Козелецька,Данівка,,
Чернігівська ,Ніжинський,Бобровицька,Наумівка,,
Чернігівська ,Ніжинський,Носівська,Підгайне,,
Чернігівська ,Ніжинський,Носівська,Носівка,,
Чернігівська ,Ніжинський,Носівська,Лукашівка,,
Чернігівська ,Ніжинський,Носівська,Андріївка,,
Чернігівська ,Ніжинський,Носівська,Козари,,
Чернігівська ,Козелецький,Козелецька,Пилятин,,
Чернігівська ,Козелецький,Козелецька,Блудше,,
Чернігівська ,Козелецький,Козелецька,Нова Гребля,,
Чернігівська ,Ніжинський,Носівська,Іржавець,,
Чернігівська ,Ніжинський,Носівська,Ведмедівка,,
Чернігівська ,Козелецький,Козелецька,Будище,,
Чернігівська ,Ніжинський,Носівська,Адамівка,,
Чернігівська ,Ніжинський,Носівська,Держанівка,,
Чернігівська ,Чернігівський,Киселівська,Киселівка,,
Чернігівська ,Ніжинський,Носівська,Лісові Хутори (Жовтень),,
Чернігівська ,Ніжинський,Носівська,Дебреве,,
Чернігівська ,Ніжинський,Мринська,Мрин,,
Чернігівська ,Ніжинський,Мринська,Роздольне,,
Чернігівська ,Ніжинський,Мринська,Селище,,
Чернігівська ,Ніжинський,Мринська,Плоске,,
Чернігівська ,Чернігівський,Вертіївська,Колісники,,
Чернігівська ,Чернігівський,Вертіївська,Мильники (Григорівка),,
Чернігівська ,Ніжинський,Носівська,Дослідне,,
Чернігівська ,Ніжинський,Носівська,Ставок,,
Чернігівська ,Ніжинський,Носівська,Коробчине,,
Чернігівська ,Ніжинський,Носівська,Сулак,,
Чернігівська ,Ніжинський,Носівська,Кобилещина,,
Чернігівська ,Ніжинський,Носівська,Володькова Дівиця (Червоні Партизани),,
Чернігівська ,Ніжинський,Талалаївська,Кропивне,,
Чернігівська ,Ніжинський,Талалаївська,Хвилівка,,
Чернігівська ,Ніжинський,Ніжинська,Ніжинське (Григоро-Іванівка),,
Чернігівська ,Ніжинський,Ніжинська,Ніжин,,
Чернігівська ,Чернігівський,Вертіївська,Яблуневе (Радгоспне),,
Чернігівська ,Чернігівський,Вертіївська,Липів Ріг,,
Чернігівська ,Чернігівський,Вертіївська,Березанка,,
Чернігівська ,Ніжинський,Ніжинська,Переяслівка,,
Чернігівська ,Чернігівський,Вертіївська,Черняхівка,,
Чернігівська ,Ніжинський,Крутівська,Бакланове,,
Чернігівська ,Ніжинський,Крутівська,Бурківка,,
Чернігівська ,Ніжинський,Крутівська,Крути,,
Чернігівська ,Ніжинський,Крутівська,Пам'ятне,,
Чернігівська ,Ніжинський,Крутівська,Поляна,,
Чернігівська ,Ніжинський,Крутівська,Хороше озеро,,
Чернігівська ,Ніжинський,Крутівська,Остер (Червоний Остер),,
Чернігівська ,Ніжинський,Крутівська,Українка (Червона Україна),,
Чернігівська ,Ніжинський,Крутівська,Омбиш,,
Чернігівська ,Ніжинський,Крутівська,Печі,,
Чернігівська ,Ніжинський,Крутівська,Діброва,,
Чернігівська ,Ніжинський,Крутівська,Барбурське,,
Чернігівська ,Ічнянський,Ічнянська,Куликівка,,
Чернігівська ,Ічнянський,Ічнянська,Вишнівка,,
Чернігівська ,Ічнянський,Ічнянська,Шиловичі,,
Чернігівська ,Ічнянський,Ічнянська,Сваричівка,,
Чернігівська ,Ніжинський,Плисківська,Махнівка (Петрівка),,
Чернігівська ,Ічнянський,Ічнянська,Новий Поділ,,
Чернігівська ,Ічнянський,Ічнянська,Івангород,,
Чернігівська ,Ічнянський,Ічнянська,Більмачівка,,
Чернігівська ,Ніжинський,Бахмацька,Фастівці (Фастовци),,
Чернігівська ,Ніжинський,Бахмацька,Перше Травня,,
Чернігівська ,Ічнянський,Парафіївська,Мартинівка,,
Чернігівська ,Ніжинський,Бахмацька,Кальчинівка,,
Чернігівська ,Ніжинський,Дмитрівська,Смолове,,
Чернігівська ,Ніжинський,Бахмацька,Біловежі Перші,,
Чернігівська ,Ніжинський,Бахмацька,Біловежі Другі,,
Чернігівська ,Ніжинський,Бахмацька,Веселе,,
Чернігівська ,Ніжинський,Дмитрівська,Залісся (Червона Зірка),,
Чернігівська ,Ніжинський,Дмитрівська,Шевченкове,,
Чернігівська ,Ніжинський,Дмитрівська,Рубанка,,
Чернігівська ,Чернігівський,Остерська,Пархимів,,
Чернігівська ,Чернігівський,Остерська,Білики,,
Чернігівська ,Чернігівський,Остерська,Жилин Млинок,,
Чернігівська ,Чернігівський,Остерська,Котів,,
Чернігівська ,Козелецький,Кіптівська,Савинка,,
Чернігівська ,Козелецький,Кіптівська,Димерка,,
Чернігівська ,Чернігівський,Остерська,Туманська Гута,,
Чернігівська ,Козелецький,Кіптівська,Олбин,,
Чернігівська ,Козелецький,Кіптівська,Борсуків,,
Чернігівська ,Козелецький,Кіптівська,Самійлівка,,
Чернігівська ,Козелецький,Кіптівська,Вовчок,,
Чернігівська ,Козелецький,Кіптівська,Підлісне,,
Чернігівська ,Козелецький,Кіптівська,Надинівка,,
Чернігівська ,Козелецький,Кіптівська,Красилівка,,
Чернігівська ,Козелецький,Кіптівська,Копачів,,
Чернігівська ,Чернігівський,Олишівська,Сіножацьке,,
Чернігівська ,Чернігівський,Олишівська,Серединка,,
Чернігівська ,Чернігівський,Олишівська,Топчіївка,,
Чернігівська ,Чернігівський,Іванівська,Ладинка,,
Чернігівська ,Чернігівський,Іванівська,Красне,,
Чернігівська ,Чернігівський,Іванівська,Друцьке,,
Чернігівська ,Чернігівський,Іванівська,Золотинка,,
Чернігівська ,Чернігівський,Іванівська,Ягідне,,
Чернігівська ,Чернігівський,Іванівська,Скорінець,,
Чернігівська ,Чернігівський,Іванівська,Іванівка,,
Чернігівська ,Чернігівський,Іванівська,Количівка,,
Чернігівська ,Чернігівський,Іванівська,Лукашівка,,
Чернігівська ,Чернігівський,Іванівська,Анисів,,
Чернігівська ,Чернігівський,Іванівська,Єньків,,
Чернігівська ,Чернігівський,Іванівська,Підгірне,,
Чернігівська ,Чернігівський,Іванівська,Піски,,
Чернігівська ,Чернігівський,Куликівська,Виблі,,
Чернігівська ,Чернігівський,Куликівська,Уборки,,
Чернігівська ,Чернігівський,Куликівська,Горбове,,
Чернігівська ,Чернігівський,Куликівська,Глузди,,
Чернігівська ,Чернігівський,Деснянська,Десна,,
Чернігівська ,Чернігівський,Деснянська,Виповзів,,
Чернігівська ,Чернігівський,Деснянська,Лутава,,
Чернігівська ,Чернігівський,Деснянська,Карпилівка,,
Чернігівська ,Чернігівський,Деснянська,Короп'є,,
Чернігівська ,Чернігівський,Деснянська,Рудня,,
Чернігівська ,Чернігівський,Деснянська,Морівськ,,
Чернігівська ,Чернігівський,Деснянська,Отрохи,,
Чернігівська ,Чернігівський,Гончарівська,Соколівка,,
Чернігівська ,Чернігівський,Гончарівська,Максим,,
Чернігівська ,Чернігівський,Гончарівська,Лебедівка,,
Чернігівська ,Чернігівський,Гончарівська,Гончарівське,,
Чернігівська ,Чернігівський,Гончарівська,Смолин,,
Чернігівська ,Чернігівський,Гончарівська,Козероги,,
Чернігівська ,Чернігівський,Гончарівська,Жеведь,,
Чернігівська ,Чернігівський,Гончарівська,Слабин,,
Чернігівська ,Чернігівський,Гончарівська,Якубівка,,
Чернігівська ,Чернігівський,Гончарівська,Мажугівка,,
Чернігівська ,Чернігівський,Киїнська,Шестовиця,,
Чернігівська ,Чернігівський,Киїнська,Киїнка,,
Чернігівська ,Чернігівський,Киїнська,Гущин,,
Чернігівська ,Чернігівський,Киїнська,Жавинка,,
Чернігівська ,Чернігівський,Киїнська,Павлівка,,
Чернігівська ,Чернігівський,Киїнська,Трисвятська Слобода (Радянська Слобода),,
Чернігівська ,Чернігівський,Новобілоуська,Старий Білоус,,
Чернігівська ,Чернігівський,Чернігівська,Чернігів,,
Чернігівська ,Чернігівський,Киселівська,Новоселівка,,
Чернігівська ,Чернігівський,Киселівська,Вознесенське (Улянівка),,
Чернігівська ,Чернігівський,Киселівська,Киселівка,,
Чернігівська ,Чернігівський,Киселівська,Березанка,,
Чернігівська ,Чернігівський,Киселівська,Брусилів,,
Чернігівська ,Чернігівський,Киселівська,Кобилянка,,
Чернігівська ,Чернігівський,Киселівська,Снов'янка,,
Чернігівська ,Чернігівський,Киселівська,Петрове,,
Чернігівська ,Чернігівський,Киселівська,Моргуличі,,
Чернігівська ,Чернігівський,Киселівська,Боромики,,
Чернігівська ,Чернігівський,Седнівська,Клочків,,
Чернігівська ,Чернігівський,Березнянська,Бігач,,
Чернігівська ,Чернігівський,Седнівська,Седнів,,
Чернігівська ,Чернігівський,Седнівська,Черниш,,
Чернігівська ,Чернігівський,Березнянська,Климентинівка,,
Чернігівська ,Чернігівський,Березнянська,Сахнівка (Ленінівка),,
Чернігівська ,Чернігівський,Березнянська,Святі Гори (Червоні Гори),,
Чернігівська ,Чернігівський,Седнівська,Макишин,,
Чернігівська ,Чернігівський,Седнівська,Яськове,,
Чернігівська ,Чернігівський,Седнівська,Малий Дирчин,,
Чернігівська ,Чернігівський,Седнівська,Великий Дирчин,,
Чернігівська ,Чернігівський,Березнянська,Лугове,,
Чернігівська ,Сновський,Сновська,Рогізки,,
Чернігівська ,Городнянський,Городнянська,Конотоп,,
Чернігівська ,Чернігівський,Седнівська,Лашуки,,
Чернігівська ,Сновський,Сновська,Смяч,,
Чернігівська ,Сновський,Сновська,Лосєва Слобода,,
Чернігівська ,Сновський,Сновська,Нові Млини,,
Чернігівська ,Сновський,Сновська,Заріччя,,
Чернігівська ,Сновський,Сновська,Займище,,
Чернігівська ,Сновський,Сновська,Сновськ (Щорс),,
Чернігівська ,Сновський,Сновська,Сновське,,
Чернігівська ,Сновський,Сновська,Єнькова Рудня,,
Чернігівська ,Сновський,Сновська,Гвоздиківка,,
Чернігівська ,Сновський,Сновська,Селище,,
Чернігівська ,Сновський,Сновська,Ількуча,,
Чернігівська ,Сновський,Сновська,Старі Боровичі,,
Чернігівська ,Сновський,Сновська,Нові Боровичі,,
Чернігівська ,Сновський,Сновська,Загребельна Слобода,,
Чернігівська ,Сновський,Сновська,Камка,,
Чернігівська ,Сновський,Сновська,Жовідь,,
Чернігівська ,Сновський,Сновська,Безуглівка,,
Чернігівська ,Сновський,Сновська,Піщанка,,
Чернігівська ,Сновський,Сновська,Гірськ,,
Чернігівська ,Сновський,Сновська,Млинок,,
Чернігівська ,Сновський,Сновська,Містки,,
Чернігівська ,Сновський,Сновська,Єліне,,
Чернігівська ,Сновський,Сновська,Хрінівка,,
Чернігівська ,Сновський,Сновська,Клюси,,
Чернігівська ,Сновський,Сновська,Пльохів,,
Чернігівська ,Сновський,Сновська,Липівка,,
Чернігівська ,Новгород-Сіверський,Семенівська,Лісківщина,,
Чернігівська ,Новгород-Сіверський,Семенівська,Набережне,,
Чернігівська ,Новгород-Сіверський,Семенівська,Красні Лози,,
Чернігівська ,Новгород-Сіверський,Семенівська,Карповичі,,
Чернігівська ,Новгород-Сіверський,Семенівська,Прогрес,,
Чернігівська ,Новгород-Сіверський,Семенівська,Березовий Гай (Червоний Гай),,
Чернігівська ,Новгород-Сіверський,Семенівська,Хотіївка,,
Чернігівська ,Новгород-Сіверський,Семенівська,Кринички,,
Чернігівська ,Новгород-Сіверський,Семенівська,Гаті,,
Чернігівська ,Новгород-Сіверський,Семенівська,Чорнозем,,
Чернігівська ,Новгород-Сіверський,Семенівська,Калинівське,,
Чернігівська ,Новгород-Сіверський,Семенівська,Заріччя,,
Чернігівська ,Новгород-Сіверський,Семенівська,Луб'яне (Червоний Пахар),,
Чернігівська ,Новгород-Сіверський,Семенівська,Медведівка,,
Чернігівська ,Новгород-Сіверський,Семенівська,Тимоновичі,,
Чернігівська ,Новгород-Сіверський,Семенівська,Покровське,,
Чернігівська ,Новгород-Сіверський,Семенівська,Брониви (Улянівське),,
Чернігівська ,Новгород-Сіверський,Понорницька,Авдіївка,,
Чернігівська ,Чернігівський,Березнянська,Гориця,,
Чернігівська ,Чернігівський,Березнянська,Локнисте,,
Чернігівська ,Чернігівський,Березнянська,Гусавка,,
Чернігівська ,Чернігівський,Березнянська,Гребля,,
Чернігівська ,Чернігівський,Березнянська,Мощне,,
Чернігівська ,Корюківський,Менська,Лазарівка,,
Чернігівська ,Чернігівський,Березнянська,Домниця,,
Чернігівська ,Чернігівський,Березнянська,Подин,,
Чернігівська ,Корюківський,Менська,Дмитрівка,,
Чернігівська ,Чернігівський,Березнянська,Мурівка,,
Чернігівська ,Чернігівський,Березнянська,Миколаївка,,
Чернігівська ,Корюківський,Менська,Чорногорці,,
Чернігівська ,Корюківський,Менська,Семенівка,,
Чернігівська ,Чернігівський,Куликівська,Ковчин,,
Чернігівська ,Чернігівський,Куликівська,Салтикова Дівиця,,
Чернігівська ,Корюківський,Менська,Блистова,,
Чернігівська ,Корюківський,Менська,Дерепівка,,
Чернігівська ,Корюківський,Менська,Бірківка,,
Чернігівська ,Корюківський,Менська,Ушня,,
Чернігівська ,Чернігівський,Куликівська,Хибалівка,,
Чернігівська ,Чернігівський,Куликівська,Кладьківка,,
Чернігівська ,Корюківський,Менська,Дібрівка,,
Чернігівська ,Корюківський,Менська,Максаки,,
Чернігівська ,Ніжинський,Комарівська,Воловиця,,
Чернігівська ,Ніжинський,Комарівська,Березівка,,
Чернігівська ,Ніжинський,Комарівська,Степанівка,,
Чернігівська ,Ніжинський,Комарівська,Ворона,,
Чернігівська ,Ніжинський,Комарівська,Сидорівка,,
Чернігівська ,Корюківський,Менська,Луки (Червоні Луки),,
Чернігівська ,Ніжинський,Комарівська,Ховми,,
Чернігівська ,Ніжинський,Комарівська,Линівка,,
Чернігівська ,Борзнянський,Борзнянська,Красностав,,
Чернігівська ,Борзнянський,Борзнянська,Ядути,,
Чернігівська ,Борзнянський,Борзнянська,Острів Надії (Кіровське),,
Чернігівська ,Борзнянський,Борзнянська,Сапонівка,,
Чернігівська ,Корюківський,Менська,Овчарівка (Червоний Маяк),,
Чернігівська ,Корюківський,Менська,Куковицьке,,
Чернігівська ,Борзнянський,Борзнянська,Гришівка,,
Чернігівська ,Корюківський,Менська,Остапівка,,
Чернігівська ,Корюківський,Менська,Майське,,
Чернігівська ,Корюківський,Менська,Куковичі,,
Чернігівська ,Корюківський,Менська,Макошине,,
Чернігівська ,Корюківський,Менська,Слобідка,,
Чернігівська ,Сосницький,Сосницька,Ганнівка,,
Чернігівська ,Корюківський,Менська,Покровське (Жовтневе),,
Чернігівська ,Сосницький,Сосницька,Сосниця,,
Чернігівська ,Сосницький,Сосницька,Загребелля,,
Чернігівська ,Сосницький,Сосницька,Гапішківка,,
Чернігівська ,Сосницький,Сосницька,Масалаївка,,
Чернігівська ,Сосницький,Сосницька,Гутище,,
Чернігівська ,Сосницький,Сосницька,Філонівка,,
Чернігівська ,Сосницький,Сосницька,Якличі,,
Чернігівська ,Сосницький,Сосницька,Спаське,,
Чернігівська ,Сосницький,Сосницька,Синютин,,
Чернігівська ,Сосницький,Сосницька,Пекарів,,
Чернігівська ,Новгород-Сіверський,Коропська,Шабалинів,,
Чернігівська ,Сосницький,Сосницька,Мале Устя,,
Чернігівська ,Сосницький,Сосницька,Кнути,,
Чернігівська ,Новгород-Сіверський,Коропська,Мохове,,
Чернігівська ,Сосницький,Сосницька,Костирів,,
Чернігівська ,Борзнянський,Височанська,Червона Гірка,,
Чернігівська ,Сосницький,Сосницька,Бондарівка,,
Чернігівська ,Сосницький,Сосницька,Мала Бондарівка,,
Чернігівська ,Борзнянський,Борзнянська,Прачі,,
Чернігівська ,Сосницький,Сосницька,Старобутівка,,
Чернігівська ,Сосницький,Сосницька,Бутівка,,
Чернігівська ,Сосницький,Сосницька,Велике Устя,,
Чернігівська ,Борзнянський,Височанська,Купченків,,
Чернігівська ,Сосницький,Сосницька,Польове,,
Чернігівська ,Борзнянський,Височанська,Галайбине,,
Чернігівська ,Борзнянський,Височанська,Головеньки,,
Чернігівська ,Борзнянський,Височанська,Клипин,,
Чернігівська ,Борзнянський,Височанська,Паристівка,,
Чернігівська ,Борзнянський,Височанська,Добропілля,,
Чернігівська ,Сосницький,Сосницька,Долинське,,
Чернігівська ,Борзнянський,Височанська,Нові Млини,,
Чернігівська ,Борзнянський,Височанська,Кербутівка,,
Чернігівська ,Новгород-Сіверський,Коропська,Нехаївка,,
Чернігівська ,Новгород-Сіверський,Коропська,Нориця,,
Чернігівська ,Сосницький,Сосницька,Кнути,,
Чернігівська ,Сосницький,Сосницька,Костирів,,
Чернігівська ,Новгород-Сіверський,Коропська,Рижки,,
Чернігівська ,Ніжинський,Батуринська,Осіч,,
Чернігівська ,Новгород-Сіверський,Коропська,Синявка,,
Чернігівська ,Новгород-Сіверський,Коропська,Груди,,
Чернігівська ,Новгород-Сіверський,Коропська,Накот,,
Чернігівська ,Новгород-Сіверський,Коропська,Кучі,,
Чернігівська ,Новгород-Сіверський,Коропська,Карильське,,
Чернігівська ,Новгород-Сіверський,Коропська,Пуста Гребля,,
Чернігівська ,Новгород-Сіверський,Коропська,Атюша,,
Чернігівська ,Ніжинський,Батуринська,Вербівка,,
Чернігівська ,Ніжинський,Батуринська,Обмачів,,
Чернігівська ,Ніжинський,Батуринська,Каціри,,
Чернігівська ,Ніжинський,Батуринська,Обірки,,
Чернігівська ,Ніжинський,Батуринська,Матіївка,,
Чернігівська ,Ніжинський,Батуринська,Батурин,,
Чернігівська ,Ніжинський,Батуринська,Мости,,
Чернігівська ,Новгород-Сіверський,Коропська,Дрібці,,
Чернігівська ,Ніжинський,Батуринська,Слобідка,,
Чернігівська ,Ніжинський,Батуринська,Голубів,,
Чернігівська ,Ніжинський,Батуринська,Шумейкине,,
Чернігівська ,Новгород-Сіверський,Коропська,Горохове,,
Чернігівська ,Новгород-Сіверський,Коропська,Новоселиця,,
Чернігівська ,Новгород-Сіверський,Коропська,Карацюбине,,
Чернігівська ,Новгород-Сіверський,Коропська,Лубенець,,
Чернігівська ,Ніжинський,Батуринська,Лісова Поляна,,
Чернігівська ,Ніжинський,Батуринська,Лопатин,,
Чернігівська ,Новгород-Сіверський,Коропська,Рубанників,,
Чернігівська ,Ніжинський,Батуринська,Бондарі,,
Чернігівська ,Ніжинський,Батуринська,Митченки,,
Чернігівська ,Ніжинський,Батуринська,Красне,,
Чернігівська ,Ніжинський,Батуринська,Тасуїв,,
Чернігівська ,Ніжинський,Батуринська,Карпенкове,,
,,,,,
Сумська область ,,,,,
Сумська ,Конотопський,Попівська,Селище,,
Сумська ,Конотопський,Попівська,Таранське,,
Сумська ,Конотопський,Попівська,Лисогубівка,,
Сумська ,Конотопський,Попівська,Вирівка,,
Сумська ,Конотопський,Попівська,Заводське,,
Сумська ,Конотопський,Конотопська міська громада,Питомник,,
Сумська ,Конотопський,Попівська,Сарнавщина,,
Сумська ,Конотопський,Попівська,Раки,,
Сумська ,Конотопський,Попівська,Кузьки,,
Сумська ,Конотопський,Попівська,Новоселівка,,
Сумська ,Конотопський,Бочечківська,Бондарі,,
Сумська ,Конотопський,Бочечківська,Савойське,,
Сумська ,Конотопський,Бочечківська,Бочечки,,
Сумська ,Конотопський,Бочечківська,Щекинське,,
Сумська ,Конотопський,Бочечківська,Козацьке,,
Сумська ,Конотопський,Бочечківська,Вовчик,,
Сумська ,Конотопський,Попівська,Жолдаки,,
Сумська ,Конотопський,Бочечківська,Новомутин,,
Сумська ,Конотопський,Бочечківська,Прилужжя,,
Сумська ,Конотопський,Бочечківська,Хижки,,
Сумська ,Конотопський,Бочечківська,Духанівка,,
Сумська ,Конотопський,Буринська ,Нечаївка,,
Сумська ,Конотопський,Буринська ,Гвинтове,,
Сумська ,Конотопський,Буринська ,Шевченкове,,
Сумська ,Конотопський,Буринська ,Коновалове,,
Сумська ,Конотопський,Буринська ,Олександрівка,,
Сумська ,Конотопський,Путивльська,Зарічне (Октябрськ),,
Сумська ,Конотопський,Путивльська,Корольки,,
Сумська ,Конотопський,Путивльська,Скуносове,,
Сумська ,Конотопський,Буринська,Дич,,
Сумська ,Конотопський,Буринська,Буринь,,
Сумська ,Конотопський,Буринська,Червона Слобода,,
Сумська ,Конотопський,Буринська,Чумакове,,
Сумська ,Конотопський,Буринська,Ігорівка,,
Сумська ,Конотопський,Буринська,Клепали,,
Сумська ,Конотопський,Буринська,Дяківка,,
Сумська ,Конотопський,Буринська,Новий мир,,
Сумська ,Конотопський,Буринська,Піски,,
Сумська ,Білопільський,Білопільська міська громада,Нові Вирки,,
Сумська ,Білопільський,Білопільська міська громада,Старі Вирки,,
Сумська ,Білопільський,Ворожбянська міська громада,Ворожба,,
Сумська ,Білопільський,Білопільська міська громада,Білопілля,,
Сумська ,Білопільський,Білопільська міська громада,Сохани,,
Сумська ,Білопільський,Білопільська міська громада,Атинське,,
Сумська ,Білопільський,Білопільська міська громада,Голишівське,,
Сумська ,Білопільський,Білопільська міська громада,Рижівка,,
Сумська ,Конотопський,Новослобідська,Бояро-Лежачі,,
Сумська ,Конотопський,Новослобідська,Манухівка,,
Сумська ,Конотопський,Новослобідська,Іванівка,,
Сумська ,Конотопський,Новослобідська,Волинцеве,,
Сумська ,Конотопський,Новослобідська,Козлівка,,
Сумська ,Конотопський,Новослобідська,Чаплищі,,
Сумська ,Конотопський,Новослобідська,Жари,,
Сумська ,Конотопський,Новослобідська,Волинцівське,,
Сумська ,Конотопський,Новослобідська,Юр'єве,,
Сумська ,Конотопський,Новослобідська,Старі Гончарі,,
Сумська ,Конотопський,Новослобідська,Нові Гончарі,,
Сумська ,Конотопський,Путивльська,Щекине,,
Сумська ,Конотопський,Путивльська,Білогалиця,,
Сумська ,Конотопський,Путивльська,Курдюмове,,
Сумська ,Конотопський,Новослобідська,Червоне Озеро,,
Сумська ,Конотопський,Путивльська,Зінове,,
Сумська ,Конотопський,Путивльська,Харівка,,
Сумська ,Конотопський,Путивльська,Пішкове,,
Сумська ,Конотопський,Новослобідська,Сахарове,,
Сумська ,Конотопський,Новослобідська,Князівка,,
Сумська ,Конотопський,Новослобідська,Мінакове,,
Сумська ,Конотопський,Путивльська,Латишівка,,
Сумська ,Конотопський,Путивльська,Пересипки,,
Сумська ,Конотопський,Новослобідська,Линове,,
Сумська ,Конотопський,Новослобідська,Ширяєве,,
Сумська ,Конотопський,Новослобідська,Кружок,,
Сумська ,Конотопський,Новослобідська,Дорошівка,,
Сумська ,Конотопський,Новослобідська,Рівне,,
Сумська ,Конотопський,Новослобідська,Партизанське,,
Сумська ,Конотопський,Новослобідська,Бунякине,,
Сумська ,Конотопський,Новослобідська,Свобода,,
Сумська ,Конотопський,Новослобідська,Нова Слобода,,
Сумська ,Конотопський,Новослобідська,Бувалине,,
Сумська ,Конотопський,Новослобідська,Бруски,,
Сумська ,Конотопський,Новослобідська,Гірки,,
Сумська ,Конотопський,Новослобідська,Сиром'ятникове,,
Сумська ,Конотопський,Путивльська,Товченикове,,
Сумська ,Конотопський,Путивльська міська громада,Путивль,,
Сумська ,Конотопський,Путивльська міська громада,Пруди,,
Сумська ,Конотопський,Путивльська міська громада,Селезнівка,,
Сумська ,Конотопський,Путивльська міська громада,Чорнобривкине,,
Сумська ,Конотопський,Путивльська міська громада,Голубкове,,
Сумська ,Конотопський,Путивльська міська громада,Зозулине,,
Сумська ,Конотопський,Путивльська міська громада,Кардаші,,
Сумська ,Конотопський,Путивльська міська громада,Спадщина,,
Сумська ,Конотопський,Путивльська міська громада,Сафонівка,,
Сумська ,Конотопський,Путивльська міська громада,Красне,,
Сумська ,Конотопський,Путивльська міська громада,Трудове,,
Сумська ,Конотопський,Путивльська міська громада,Суворове,,
Сумська ,Шосткинський,Есманьська,Студенок,,
Сумська ,Шосткинський,Глухівська міська громада,Будівельне,,
Сумська ,Шосткинський,Глухівська міська громада,Білокопитове,,
Сумська ,Шосткинський,Глухівська міська громада,Заруцьке,,
