Кодифікатор,Код об'єкта КОАТУУ ,Категорія об’єкта,Назва об’єкта
UA01020310020049917,8536390703,С,Гончарне
UA01020310030041665,8536390705,С,Кизилове
UA01020310040035606,8536390709,С,Новобобрівське
UA01020310050051155,8536390711,С,Озерне
UA01020310060088260,8536390713,С,Павлівка
UA01020310070070381,8536390715,С,Передове
UA01020310080015829,8536390717,С,Підгірне
UA01020310090018188,8536390719,С,Резервне
UA01020310100043613,8536390721,С,Родниківське
UA01020310110010004,8536390723,С,Розсошанка
UA01020310120097167,8536390725,С,Тилове
UA01020310130018566,8536390707,С,Узунджи
UA01020310140094275,8536390727,С,Широке
UA01020330000026857,0120484400,Н,Піщанівська 
UA01020330010077491,0120484401,С,Піщане
UA01020330020049762,0120484402,С,Берегове
UA01020350000012924,0120484600,Н,Плодівська 
UA01020350010083152,0120484601,С,Плодове
UA01020350020055481,0120484602,С,Брянське
UA01020350030066553,0120484603,С,Гірка
UA01020350040061533,0120484604,С,Дібрівка
UA01020350050012107,0120484605,С,Дорожнє
UA01020370000098913,0120455600,Н,Поштівська 
UA01020370010082919,0120455600,Т,Поштове
UA01020370020017519,0120455601,С,Завітне
UA01020370030073511,0120455602,С,Зубакіне
UA01020370040066972,0120455603,С,Казанки
UA01020370050048874,0120455604,С,Малинівка
UA01020370060014747,0120455605,С,Нововасилівка
UA01020370070047245,0120455606,С,Новопавлівка
UA01020370080064174,0120455607,С,Приятне Свідання
UA01020370090059007,0120455608,С,Ростуче
UA01020370100079082,0120455609,С,Самохвалове
UA01020370110050872,0120455610,С,Севастянівка
UA01020370120034950,0120455612,С,Тополі
UA01020370130021249,0120455611,Х,Стальне
UA01020390000023946,0120485000,Н,Скалистівська 
UA01020390010087353,0120485001,С,Скалисте
UA01020390020089381,0120485002,С,Глибокий Яр
UA01020390030068062,0120485003,С,Прохладне
UA01020390040022064,0120485004,С,Трудолюбівка
UA01020410000012183,0120485500,Н,Табачненська 
UA01020410010079227,0120485501,С,Табачне
UA01020430000077222,8536391500,Н,Тернівська 
UA01020430010015851,8536391501,С,Тернівка
UA01020430020041589,8536391503,С,Рідне
UA01020450000039196,0120486200,Н,Тінистівська 
UA01020450010047517,0120486201,С,Тінисте
UA01020450020080220,0120486202,С,Айвове
UA01020450030044282,0120486203,С,Красна Зоря
UA01020450040029353,0120486204,С,Некрасовка
UA01020450050043908,0120486205,С,Суворове
UA01020470000045027,0120488400,Н,Углівська 
UA01020470010027281,0120488401,С,Углове
UA01040000000069938,0120700000,Р,Білогірський
UA01040010000012643,0120780400,Н,Ароматнівська 
UA01040010010075410,0120780401,С,Ароматне
UA01040010020047319,0120780402,С,Красногірське
UA01040010030032536,0120780403,С,Курортне
UA01040030000094499,0120780800,Н,Багатівська 
UA01040030010054698,0120780801,С,Багате
UA01040030020054426,0120780802,С,Горлинка
UA01040030030079308,0120780803,С,Красна Слобода
UA01040030040031736,0120780804,С,Мелехове
UA01040030050078807,0120780805,С,Поворотне
UA01040030060066182,0120780806,С,Руське
UA01040030070095548,0120780807,С,Черемисівка
UA01040050000043618,0120710100,Н,Білогірська 
UA01040050010076142,0120710100,М,Білогірськ
UA01040070000067477,0120781300,Н,Василівська 
UA01040070010033033,0120781301,С,Василівка
UA01040070020055528,0120781303,С,Малинівка
UA01040070030047836,0120781304,С,Некрасове
UA01040070040034784,0120781305,С,Павлівка
UA01040070050033996,0120781306,С,Пролом
UA01040070060012593,0120781307,С,Сєверне
UA01040090000079381,0120781900,Н,Вишенська 
UA01040090010029666,0120781901,С,Вишенне
UA01040090020073644,0120781902,С,Біла Скеля
UA01040090030082750,0120781903,С,Миронівка
UA01040110000030475,0123180600,Н,Дрофинська 
UA01040110010070703,0123180601,С,Дрофине
UA01040110020039966,0123180602,С,Стрепетове
UA01040110030087754,0123180603,С,Яструбки
UA01040130000027316,0123181200,Н,Желябовська 
UA01040130010024144,0123181201,С,Желябовка
UA01040130020098833,0123181202,С,Ломоносове
UA01040150000027533,0123181500,Н,Жемчужинська 
UA01040150010012456,0123181501,С,Жемчужина
UA01040150020053669,0123181502,С,Піни
UA01040150030055513,0123181503,С,Прирічне
UA01040170000015760,0120782500,Н,Зеленогірська 
UA01040170010099030,0120782501,С,Зеленогірське
UA01040170020016040,0120782502,С,Балки
UA01040170030074437,0120782503,С,Міжгір’я
UA01040170040064672,0120782505,С,Новогригорівка
UA01040170050072173,0120782506,С,Новокленове
UA01040170060032396,0120782507,С,Овражки
UA01040170070071644,0120782508,С,Олександрівка
UA01040170080017987,0120782509,С,Пасічне
UA01040170090038370,0120782510,С,Пчолине
UA01040170100036591,0120782511,С,Яковлівка
UA01040190000020544,0120782700,Н,Земляничненська 
UA01040190010097055,0120782701,С,Земляничне
UA01040190020016045,0120782702,С,Оленівка
UA01040190030042848,0120782703,С,Опитне
UA01040190040040090,0120782704,С,Радісне
UA01040190050057807,0120782705,С,Родники
UA01040190060069233,0120782706,С,Синьокам’янка
UA01040190070073990,0120782707,С,Учебне
UA01040210000036434,0120782900,Н,Зибинська 
UA01040210010038172,0120782901,С,Зибини
UA01040210020028452,0120782902,С,Мельники
UA01040230000046436,0123182000,Н,Зоркінська 
UA01040230010050895,0123182001,С,Зоркіне
UA01040230020012738,0123182002,С,Межове
UA01040230030073687,0123182003,С,Ніжинське
UA01040230040036450,0123182004,С,Широке
UA01040250000021026,0120755300,Н,Зуйська 
UA01040250010020392,0120755300,Т,Зуя
UA01040250020020123,0120755301,С,Баланове
UA01040250030052860,0120755302,С,Барабанове
UA01040250040026169,0120755303,С,Верхні Орішники
UA01040250050018337,0120755305,С,Володимирівка
UA01040250060026796,0120755307,С,Литвиненкове
UA01040250070076047,0120755308,С,Нижні Орішники
UA01040250080068374,0120755309,С,Петрове
UA01040250090083925,0120755310,С,Українка
UA01040270000034439,0123182200,Н,Іванівська 
UA01040270010068326,0123182201,С,Іванівка
UA01040270020065106,0123182202,С,Заріччя
UA01040270030076395,0123182203,С,Тамбовка
UA01040270040015063,0123182204,С,Тарасівка
UA01040290000025831,0123182400,Н,Ізобільненська 
UA01040290010070254,0123182401,С,Ізобільне
UA01040310000067033,0123182600,Н,Кісточківська 
UA01040310010085584,0123182601,С,Кісточківка
UA01040310020084187,0123182602,С,Бюйтен
UA01040330000019963,0120783600,Н,Кримськорозівська 
UA01040330010069516,0120783601,С,Кримська Роза
UA01040330020085307,0120783603,С,Вишневе
UA01040350000026880,0120783400,Н,Криничненська 
UA01040350010047859,0120783401,С,Криничне
UA01040350020012591,0120783402,С,Алексєєвка
UA01040350030054188,0120783404,С,Голованівка
UA01040350040061641,0120783405,С,Карасівка
UA01040350050029903,0120783406,С,Кирпичне
UA01040350060024585,0120783407,С,Красноселівка
UA01040350070019046,0120783409,С,Яблучне
UA01040370000093220,0120783800,Н,Курська 
UA01040370010050684,0120783801,С,Курське
UA01040370020068344,0120783802,С,Тополівка
UA01040390000094458,0123182800,Н,Листвинська 
UA01040390010019526,0123182801,С,Листвинне
UA01040390020016319,0123182802,С,Кирсанівка
UA01040390030093653,0123182803,С,Цвітуще
UA01040410000039649,0120784200,Н,Мельнична 
UA01040410010042512,0120784201,С,Мельничне
UA01040410020013630,0120784202,С,Бочала
UA01040430000084830,0123183000,Н,Митрофанівська 
UA01040430010029713,0123183001,С,Митрофанівка
UA01040430020071965,0123183002,С,Буревісник
UA01040430030022616,0123183003,С,Плодове
UA01040430040044233,0123183004,С,Розливи
UA01040430050095299,0123183005,С,Червоне
UA01040450000033279,0123183400,Н,Михайлівська 
UA01040450010068274,0123183401,С,Михайлівка
UA01040450020087414,0123183402,С,Кунцеве
UA01040450030078647,0123183403,С,Уютне
UA01040470000054380,0120784600,Н,Мічурінська
UA01040470010029499,0120784601,С,Мічурінське
UA01040470020022194,0120784602,С,Лічебне
UA01040490000050783,0120785000,Н,Муромська 
UA01040490010025598,0120785001,С,Муромське
UA01040490020063961,0120785002,С,Дивне
UA01040490030029723,0120785003,С,Кривцове
UA01040490040010927,0120785005,С,Сінне
UA01040490050091795,0120785006,С,Хлібне
UA01040510000040948,0123155100,Н,Нижньогірська 
UA01040510010040141,0123155100,Т,Нижньогірський
UA01040510020058162,0123155101,С,Зелене
UA01040510030083360,0123155102,С,Лінійне
UA01040530000066139,0123184600,Н,Новогригорівська 
UA01040530010077803,0123184601,С,Новогригорівка
UA01040530020097860,0123184602,С,Владиславівка
UA01040530030039792,0123184603,С,Корінне
UA01040550000033125,0120785800,Н,Новожилівська 
UA01040550010088649,0120785801,С,Новожилівка
UA01040550020032608,0120785802,С,Аннівка
UA01040550030042514,0120785803,С,Новоолександрівка
UA01040550040026027,0120785804,С,Тургенєве
UA01040570000042023,0123180800,Н,Омелянівська 
UA01040570010042704,0123180801,С,Омелянівка
UA01040590000047581,0123185000,Н,Охотська 
UA01040590010014367,0123185001,С,Охотське
UA01040590020067580,0123185002,С,Родники
UA01040610000061821,0123185200,Н,Пшеничненська 
UA01040610010096964,0123185201,С,Пшеничне
UA01040610020030655,0123185202,С,Дворове
UA01040610030035427,0123185203,С,Любимівка
UA01040610040082484,0123185204,С,Слив’янка
UA01040630000018582,0120786300,Н,Русаківська 
UA01040630010035977,0120786301,С,Русаківка
UA01040630020089356,0120786302,С,Лугове
UA01040650000030704,0123186100,Н,Садова 
UA01040650010024745,0123186101,С,Садове
UA01040650020023276,0123186102,С,Кукурудзяне
UA01040650030083387,0123186103,С,Сєрове
UA01040670000061265,0123187200,Н,Уварівська 
UA01040670010062727,0123187201,С,Уварівка
UA01040670020074869,0123187202,С,Новоіванівка
UA01040670030050869,0123187203,С,Сім’яне
UA01040690000074143,0120788400,Н,Цвіточненська 
UA01040690010075069,0120788401,С,Цвіточне
UA01040690020016998,0120788402,С,Долинівка
UA01040710000052728,0123187400,Н,Чкаловська 
UA01040710010035681,0123187401,С,Чкалове
UA01040710020071658,0123187402,С,Великосілля
UA01040710030081339,0123187403,С,Заливне
UA01040710040054533,0123187404,С,Коврове
UA01040710050067164,0123187405,С,Лугове
UA01040710060072205,0123187406,С,Степанівка
UA01040730000084787,0120788800,Н,Чорнопільська 
UA01040730010039853,0120788801,С,Чорнопілля
UA01040730020037154,0120788802,С,Дозорне
UA01040730030063814,0120788803,С,Кизилівка
UA01040730040030160,0120788804,С,Султан-Сарай
UA01040750000059611,0123180400,Н,Якимівська 
UA01040750010015899,0123180401,С,Якимівка
UA01040750020047552,0123180402,С,Дворіччя
UA01040750030056459,0123180403,С,Лужки
UA01060000000028159,0121100000,Р,Джанкойський
UA01060010000036566,0121155200,Н,Азовська 
UA01060010010090682,0121155200,Т,Азовське
UA01060030000038531,0121155400,Н,Вільненська 
UA01060030010037486,0121155400,Т,Вільне
UA01060050000010421,0110600000,Н,Джанкойська 
UA01060050010078305,0110600000,М,Джанкой
UA01060070000050618,0121180600,Н,Єрмаківська 
UA01060070010079622,0121180601,С,Єрмакове
UA01060070020020057,0121180602,С,Вітвисте
UA01060070030055199,0121180603,С,Копані
UA01060070040077324,0121180605,С,Придорожнє
UA01060070050062490,0121180606,С,Солоне Озеро
UA01060070060083016,0121180607,С,Стовпове
UA01060070070051856,0121180604,С,Тархан-Сунак
UA01060090000040099,0121180800,Н,Завіто-Ленінська 
UA01060090010012913,0121180801,С,Кучук-Алкали
UA01060090020040554,0121180802,С,Зелений Яр
UA01060090030020893,0121180803,С,Мартинівка
UA01060090040090998,0121180804,С,Мілководне
UA01060090050035872,0121180805,С,Пушкіне
UA01060090060088166,0121180806,С,Солонцеве
UA01060110000056995,0121181300,Н,Зарічненська 
UA01060110010025642,0121181301,С,Зарічне
UA01060110020054068,0121181302,С,Армійське
UA01060110030095585,0121181303,С,Болотне
UA01060110040062805,0121181306,С,Низинне
UA01060110050080013,0121181307,С,Перепілкине
UA01060110060044964,0121181308,С,Суміжне
UA01060110070010109,0121181305,Х,Митюрине
UA01060130000083087,0121181500,Н,Ізумруднівська 
UA01060130010045779,0121181501,С,Ізумрудне
UA01060130020057887,0121181502,С,Дмитрівка
UA01060130030038263,0121181503,С,Калинівка
UA01060130040012002,0121181504,С,Мічурінівка
UA01060130050057960,0121181505,С,Новостепове
UA01060130060096110,0121181506,С,Овочеве
UA01060150000096126,0121181700,Н,Кіндратівська 
UA01060150010027388,0121181701,С,Кіндратове
UA01060150020068737,0121181704,С,Мішен-Найман
UA01060150030057302,0121181703,С,Рубинівка
UA01060150040088519,0121181702,Х,Дорожнє
UA01060170000087883,0121181800,Н,Кримківська 
UA01060170010033391,0121181801,С,Кримка
UA01060190000037533,0121181900,Н,Лобанівська 
UA01060190010025055,0121181901,С,Лобанове
UA01060190020063631,0121181903,С,Жилине
UA01060190030045526,0121181904,С,Мар’їне
UA01060190040064489,0121181905,С,Орденоносне
UA01060190050045891,0121181906,Х,Ясне
UA01060210000015881,0121182300,Н,Луганська 
UA01060210010054267,0121182301,С,Луганське
UA01060210020070598,0121182305,С,Джадра-Шейх-Елі
UA01060210030030095,0121182302,С,Ковильне
UA01060210040086529,0121182303,С,Пробудження
UA01060210050082911,0121182304,С,Тутове
UA01060230000090283,0121182500,Н,Майська 
UA01060230010081534,0121182501,С,Майське
UA01060230020019545,0121182505,С,Бай-Кончек
UA01060230030011132,0121182502,С,Ближнє
UA01060230040047884,0121182503,С,Житомирське
UA01060230050014955,0121182506,С,Польове
UA01060250000010093,0121182900,Н,Маслівська 
UA01060250010035790,0121182901,С,Маслове
UA01060250020088912,0121182903,С,Конурча
UA01060250030035126,0121182902,С,Орак-Аджи
UA01060270000057570,0121183400,Н,Медведівська 
UA01060270010016642,0121183401,С,Медведівка
UA01060270020055295,0121183402,С,Передмістне
UA01060270030024975,0121183403,С,Тургенєве
UA01060290000012729,0121183600,Н,Мирнівська 
UA01060290010093008,0121183601,С,Мирнівка
UA01060290020059939,0121183602,С,Дніпровка
UA01060290030056654,0121183603,С,Костянтинівка
UA01060290040096431,0121183604,С,Рисакове
UA01060290050016030,0121183605,С,Тимофіївка
UA01060310000070223,0121183800,Н,Новокримська 
UA01060310010077633,0121183801,С,Новокримське
UA01060310020084102,0121183802,С,Істочне
UA01060310030037516,0121183803,С,Павлівка
UA01060330000093805,0121184000,Н,Пахарівська 
UA01060330010057478,0121184001,С,Пахарівка
UA01060330020054147,0121184002,С,Випасне
UA01060350000056233,0121184100,Н,Побєдненська 
UA01060350010072722,0121184101,С,Побєдне
UA01060350020027998,0121184102,С,Нове Життя
UA01060350030082893,0121184103,С,Тарасівка
UA01060370000043403,0121184200,Н,Просторненська 
UA01060370010062246,0121184201,С,Просторне
UA01060370020044063,0121184202,С,Антонівка
UA01060370030050272,0121184203,С,Апрелівка
UA01060370040017640,0121184205,С,Бородіно
UA01060370050059566,0121184207,С,Нижні Отрожки
UA01060370060019643,0121184208,С,Слов’янське
UA01060370070099918,0121184209,С,Стефанівка
UA01060390000046603,0121185500,Н,Розкішненська 
UA01060390010064808,0121185501,С,Розкішне
UA01060390020015060,0121185503,С,Зернове
UA01060410000094479,0121185600,Н,Рощинська 
UA01060410010056869,0121185601,С,Рощине
UA01060410020048220,0121185602,С,Ближньогородське
UA01060410030043595,0121185603,С,Краснодольне
UA01060410040018353,0121185604,С,Озерне
UA01060410050095410,0121185605,С,Сєрноводське
UA01060430000047350,0121185800,Н,Світлівська 
UA01060430010016957,0121185801,С,Світле
UA01060430020098298,0121185805,С,Благодатне
UA01060450000039619,0121186000,Н,Стальненська 
UA01060450010038318,0121186001,С,Стальне
UA01060450020063825,0121186002,С,Многоводне
UA01060450030042795,0121186003,С,Новокостянтинівка
UA01060450040092919,0121186004,С,Новопавлівка
UA01060450050080305,0121186005,С,Новофедорівка
UA01060450060013660,0121186006,С,Озерки
UA01060450070071811,0121186007,С,Прозрачне
UA01060450080046823,0121186008,С,Рідне
UA01060470000074569,0121186200,Н,Табачненська 
UA01060470010070359,0121186201,С,Табачне
UA01060470020078384,0121186203,С,Новосільцеве
UA01060470030034624,0121186207,С,Федорівка
UA01060470040097468,0121186209,С,Хлібне
UA01060490000025706,0121187200,Н,Цілинна 
UA01060490010090976,0121187201,С,Цілинне
UA01060490020033500,0121187202,С,Колоски
UA01060490030057741,0121187203,С,Томашівка
UA01060510000014745,0121187500,Н,Чайкинська 
UA01060510010048579,0121187501,С,Чайкине
UA01060510020099749,0121187503,С,Мисове
UA01060530000083757,0121188200,Н,Ярківська 
UA01060530010049751,0121188201,С,Ярке
UA01060530020067140,0121188204,С,Яструбці
UA01060550000035996,0121188400,Н,Яркополенська 
UA01060550010089778,0121188401,С,Ярке Поле
UA01060550020050465,0121188402,С,Арбузівка
UA01060550030014907,0121188403,С,Веселе
UA01060550040014571,0121188404,С,Відрадне
UA01060550050063361,0121188407,С,Нахідка
UA01060550060077158,0121188408,С,Слов’янка
UA01060550070077959,0121188409,С,Тімірязєве
UA01060550080083879,0121188406,Х,Дібрівка
UA01060570000054277,0121188600,Н,Яснополянська 
UA01060570010064156,0121188601,С,Яснополянське
UA01060570020013654,0121188603,С,Рюмшине
UA01060570030017540,0121188602,Х,Володине
UA01080000000090798,Новий район,Р,Євпаторійський
UA01080010000041994,0124380400,Н,Вересаєвська 
UA01080010010068657,0124380401,С,Вересаєве
UA01080010020079041,0124380402,С,Глінка
UA01080030000045727,0124380600,Н,Веселівська 
UA01080030010045199,0124380601,С,Веселівка
UA01080030020036700,0124380602,С,Владне
UA01080030030025413,0124380605,С,Наташине
UA01080030040028455,0124380604,С,Порфирівка
UA01080050000096676,0124380801,Н,Виноградівська
UA01080050010032744,0124380801,С,Виноградове
UA01080050020029678,0124380802,С,Вітрівка
UA01080070000098272,0124381300,Н,Воробйовська 
UA01080070010022908,0124381301,С,Воробйове
UA01080070020073833,0124381303,С,Мамут-Бай
UA01080070030094770,0124381305,С,Шишкине
UA01080070040010652,0124381304,С,Яни Кьогенеш
UA01080090000042257,0124381600,Н,Геройська 
UA01080090010045977,0124381601,С,Геройське
UA01080090020061444,0124381602,С,Ярке
UA01080110000026158,0125681100,Н,Далеківська 
UA01080110010015544,0125681101,С,Далеке
UA01080110020062537,0125681102,С,Володимирівка
UA01080110030051313,0125681103,С,Журавлівка
UA01080110040042627,0125681104,С,Зоряне
UA01080110050071858,0125681105,С,Сєверне
UA01080130000045712,0124381800,Н,Добрушинська 
UA01080130010047488,0124381801,С,Добрушине
UA01080130020044600,0124381803,С,Єлизаветове
UA01080130030077208,0124381804,С,Ізвесткове
UA01080130040052850,0124381806,С,Солдатське
UA01080130050074822,0124381807,С,Шалаші
UA01080150000090077,0110900000,Н,Євпаторійська 
UA01080150010090810,0110900000,М,Євпаторія 
UA01080170000067481,0110945300,Н,Заозерненська 
UA01080170010046248,0110945300,Т,Заозерне
UA01080190000077346,0124382000,Н,Зернівська 
UA01080190010030424,0124382001,С,Зернове
UA01080190020017068,0124382003,С,Низинне
UA01080210000085553,0124382200,Н,Іванівська 
UA01080210010010376,0124382201,С,Іванівка
UA01080210020062665,0124382202,С,Жайворонки
UA01080230000099101,0125682200,Н,Кіровська 
UA01080230010016967,0125682201,С,Тарханкут
UA01080230020089042,0125682202,С,Дозорне
UA01080230030073042,0125682203,С,Задорне
UA01080230040061221,0125682204,Х,Низівка
UA01080250000089512,0124382600,Н,Кольцовська 
UA01080250010038727,0124382601,С,Кольцове
UA01080250020031275,0124382602,С,Вогневе
UA01080250030026159,0124382604,С,Нива
UA01080270000041617,0124383000,Н,Крайненська 
UA01080270010042114,0124383001,С,Крайнє
UA01080270020014692,0124383002,С,Вершинне
UA01080270030054826,0124383004,С,Трудове
UA01080290000094502,0125683300,Н,Краснополянська 
UA01080290010052970,0125683301,С,Красна Поляна
UA01080290020022799,0125683302,С,Внукове
UA01080290030039527,0125683303,С,Кузнецьке
UA01080310000030238,0125683500,Н,Красноярська 
UA01080310010068676,0125683501,С,Красноярське
UA01080310020027696,0125683503,С,Ленське
UA01080330000045383,0124383400,Н,Кримська 
UA01080330010055488,0124383401,С,Кримське
UA01080330020028472,0124383402,С,Валентинове
UA01080330030086649,0124383404,С,Ігорівка
UA01080330040033504,0124383406,С,Степове
UA01080350000063181,0124383900,Н,Ліснівська 
UA01080350010089970,0124383901,С,Ліснівка
UA01080350020048787,0124383902,С,Володимирівка
UA01080350030055672,0124383903,С,Гаршине
UA01080350040020024,0124383904,С,Куликівка
UA01080350050023625,0124383905,С,Прибережне
UA01080370000027490,0125684400,Н,Медведівська 
UA01080370010062149,0125684401,С,Медведеве
UA01080370020095086,0125684402,Х,Озерівка
UA01080390000062037,0110945600,Н,Мирнівська 
UA01080390010079538,0110945600,Т,Мирний
UA01080410000097623,0124384400,Н,Митяївська 
UA01080410010013368,0124384401,С,Митяєве
UA01080410020095880,0124384402,С,Долинка
UA01080410030075580,0124384403,С,Журавлі
UA01080410040068627,0124384404,С,Листове
UA01080410050018168,0124384405,С,Шовковичне
UA01080430000040534,0125684800,Н,Міжводненська 
UA01080430010095937,0125684801,С,Міжводне
UA01080430020021643,0125684802,С,Водопійне
UA01080430030067997,0125684803,С,Зайцеве
UA01080430040087411,0125684804,С,Коп-Аран
UA01080430050015001,0125684805,С,Сніжне
UA01080450000078177,0124384700,Н,Молочненська 
UA01080450010026478,0124384701,С,Молочне
UA01080450020059599,0124384702,С,Абрикосівка
UA01080450030044367,0124384703,С,Вітине
UA01080470000052776,0125685600,Н,Новоіванівська 
UA01080470010032818,0125685601,С,Новоіванівка
UA01080470020020935,0125685604,С,Хмельове
UA01080490000088705,0110945800,Н,Новоозернівська 
UA01080490010081920,0110945800,Т,Новоозерне
UA01080510000081703,0125686000,Н,Новосільська 
UA01080510010031099,0125686001,С,Новосільське
UA01080510020050303,0125686002,С,Тока
UA01080530000095517,0124355500,Н,Новофедорівська 
UA01080530010014181,0124355500,Т,Новофедорівка 
UA01080550000082915,0125687300,Н,Окунівська 
UA01080550010096083,0125687301,С,Окунівка
UA01080550020081415,0125687302,С,Громове
UA01080550030019128,0125687303,С,Знам’янське
UA01080550040061512,0125687304,С,Красносільське
UA01080550050043635,0125687305,С,Мар’їне
UA01080570000060174,0125687800,Н,Оленівська 
UA01080570010048789,0125687801,С,Оленівка
UA01080570020047754,0125687802,С,Калинівка
UA01080570030036989,0125687803,С,Маяк
UA01080590000030182,0124385200,Н,Оріхівська 
UA01080590010087834,0124385201,С,Оріхове
UA01080590020030723,0124385202,С,Михайлівка
UA01080590030057695,0124385204,С,Червоне
UA01080590040061111,0124385205,С,Чоботарка
UA01080610000042551,0124385600,Н,Охотниківська 
UA01080610010040352,0124385601,С,Охотникове
UA01080610020056303,0124385602,С,Громовка
UA01080610030035504,0124385603,С,Кар’єрне
UA01080610040095458,0124385604,С,Наумівка
UA01080610050059517,0124385605,С,Орлянка
UA01080610060092924,0124385606,С,Рунне
UA01080630000050017,0124386000,Н,Ромашкінська 
UA01080630010038509,0124386001,С,Ромашкине
UA01080630020045752,0124386002,С,Колоски
UA01080650000098466,0111400000,Н,Сакська 
UA01080650010078157,0111400000,М,Саки
UA01080670000081722,0124386500,Н,Сизівська 
UA01080670010069089,0124386501,С,Сизівка
UA01080670020056850,0124386502,С,Водопійне
UA01080670030068470,0124386505,С,Іллінка
UA01080670040011372,0124386506,С,Лугове
UA01080690000089219,0124386800,Н,Стовпівська 
UA01080690010058793,0124386801,С,Стовпове
UA01080690020090324,0124386802,С,Лушине
UA01080710000034293,0124387000,Н,Суворовська 
UA01080710010090219,0124387001,С,Суворовське
UA01080710020018671,0124387002,С,Велике
UA01080710030023125,0124387004,С,Жовтокам’янка
UA01080710040086519,0124387005,С,Каменоломня
UA01080710050093195,0124387006,С,Лиманне
UA01080710060066566,0124387007,С,Побєдне
UA01080710070055581,0124387008,С,Тунельне
UA01080730000098259,0124387700,Н,Уютненська 
